,Total ppl,Sex_female,Sex_male,Age Category_Bebe,Age Category_Niño,Age Category_Adolescente,Age Category_Adulto Joven,Age Category_Adulto Mayor,Age Category_Anciano,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Prueba,Predicción
809,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
466,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
430,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
519,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
395,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
444,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
54,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
720,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
536,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
448,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1
3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
63,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
406,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
606,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
218,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
887,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
732,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
168,6,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
862,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
797,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
138,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
23,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
321,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
31,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
419,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
38,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
440,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
805,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
772,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
248,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
609,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
550,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1
390,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
15,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
80,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
573,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
680,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
832,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1
863,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
64,6,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
543,7,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
319,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
89,6,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
859,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
835,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
316,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
808,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
334,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
849,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
493,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
171,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
204,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
749,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
10,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
125,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
162,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
738,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
397,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
878,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
25,5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
26,7,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
247,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
798,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
755,4,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
73,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
839,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
462,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
135,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
45,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
165,6,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
81,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
145,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
778,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
401,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
461,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
694,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
504,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
653,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
380,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
815,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
234,7,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
113,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
343,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
516,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
329,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
330,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
544,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0
221,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0
53,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
527,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
647,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
326,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
886,6,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
405,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
437,5,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
865,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
665,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
379,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
656,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
357,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
660,3,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
628,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
742,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
852,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
114,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
716,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
747,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
872,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
776,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
868,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
387,8,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
439,6,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
183,7,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
792,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
876,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
381,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
137,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
837,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
212,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
214,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
479,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
117,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
246,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
288,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
253,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
322,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
857,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
688,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
559,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
